18/09/06 3:26:13 PM	chatId: string	input: string
	Diff start: 63672019401729.4	chatId: b_2667214_7
	Diff send: 15560.6583	chatId: b_2667214_7
	Diff start: 63672019995033.7	chatId: b_2667214_7
	Diff send: 9494.707	chatId: b_2667214_7
	Diff start: 63672020446119.7	chatId: b_3133496_7
	Diff send: 7834.9352	chatId: b_3133496_7
	Diff start: 63672366003332.9	chatId: b_2_2
	Diff send: 62.5332	chatId: b_2_2
	Diff start: 63672366003411	chatId: b_7149751_2
	Diff send: 69.549	chatId: b_7149751_2
	Diff start: 63672369023830.9	chatId: b_7149751_2
	Diff send: 390.6563	chatId: b_7149751_2
	Diff start: 63672369042267.2	chatId: b_7149751_2
	Diff send: 109.3689	chatId: b_7149751_2
	Diff start: 63672369217970	chatId: b_7149751_2
	Diff send: 62.4805	chatId: b_7149751_2
	Diff start: 63672369275327.6	chatId: b_7149751_2
	Diff send: 46.8694	chatId: b_7149751_2
	Diff start: 63672369297965.4	chatId: b_7149751_2
	Diff send: 406.1685	chatId: b_7149751_2
	Diff start: 63672369305839.9	chatId: b_7149751_2
	Diff send: 109.4136	chatId: b_7149751_2
	Diff start: 63672369891120.9	chatId: b_7149751_2
	Diff send: 62.5381	chatId: b_7149751_2
	Diff start: 63672369897745.5	chatId: b_7149751_2
	Diff send: 93.7427	chatId: b_7149751_2
	Diff start: 63672369904963.8	chatId: b_7149751_2
	Diff send: 140.617	chatId: b_7149751_2
	Diff start: 63672369913978.8	chatId: b_7149751_2
	Diff send: 124.9907	chatId: b_7149751_2
	Diff start: 63672369948992	chatId: b_7149751_2
	Diff send: 62.5524	chatId: b_7149751_2
	Diff start: 63672369949054.5	chatId: b_7149751_2
	Diff send: 93.7438	chatId: b_7149751_2
	Diff start: 63672369949148.3	chatId: b_7149751_2
	Diff send: 62.4974	chatId: b_7149751_2
	Diff start: 63672369949210.8	chatId: b_7149751_2
	Diff send: 62.4933	chatId: b_7149751_2
	Diff start: 63672369949273.3	chatId: b_7149751_2
	Diff send: 78.1201	chatId: b_7149751_2
	Diff start: 63672369949351.4	chatId: b_7149751_2
	Diff send: 46.8739	chatId: b_7149751_2
	Diff start: 63672369949413.8	chatId: b_7149751_2
	Diff send: 78.1044	chatId: b_7149751_2
	Diff start: 63672369949491.9	chatId: b_7149751_2
	Diff send: 390.6547	chatId: b_7149751_2
	Diff start: 63672369949991.9	chatId: b_7149751_2
	Diff send: 156.2761	chatId: b_7149751_2
	Diff start: 63672369950148.2	chatId: b_7149751_2
	Diff send: 62.4576	chatId: b_7149751_2
	Diff start: 63672369950210.6	chatId: b_7149751_2
	Diff send: 46.929	chatId: b_7149751_2
	Diff start: 63672369950257.6	chatId: b_7149751_2
	Diff send: 46.8727	chatId: b_7149751_2
	Diff start: 63672369950304.4	chatId: b_7149751_2
	Diff send: 46.8711	chatId: b_7149751_2
	Diff start: 63672369950366.9	chatId: b_7149751_2
	Diff send: 124.9793	chatId: b_7149751_2
	Diff start: 63672369950491.9	chatId: b_7149751_2
	Diff send: 46.9285	chatId: b_7149751_2
	Diff start: 63672369950554.4	chatId: b_7149751_2
	Diff send: 62.5389	chatId: b_7149751_2
	Diff start: 63672369950757.5	chatId: b_7149751_2
	Diff send: 62.4412	chatId: b_7149751_2
	Diff start: 63672369961288	chatId: b_7149751_2
	Diff send: 46.929	chatId: b_7149751_2
	Diff start: 63672369979568	chatId: b_7149751_2
	Diff send: 203.1674	chatId: b_7149751_2
	Diff start: 63672369986473.8	chatId: b_7149751_2
	Diff send: 109.4235	chatId: b_7149751_2
	Diff start: 63672369993707.7	chatId: b_7149751_2
	Diff send: 78.1188	chatId: b_7149751_2
	Diff start: 63672369998379.3	chatId: b_7149751_2
	Diff send: 46.8744	chatId: b_7149751_2
	Diff start: 63672370167958.8	chatId: b_7149751_2
	Diff send: 157.7434	chatId: b_7149751_2
	Diff start: 63672370187697.7	chatId: b_7149751_2
	Diff send: 62.5541	chatId: b_7149751_2
	Diff start: 63672370199822	chatId: b_7149751_2
	Diff send: 124.9903	chatId: b_7149751_2
	Diff start: 63672370210868.1	chatId: b_7149751_2
	Diff send: 62.5512	chatId: b_7149751_2
	Diff start: 63672370222929.8	chatId: b_7149751_2
	Diff send: 46.885	chatId: b_7149751_2
	Diff start: 63672371924027.6	chatId: b_7149751_2
	Diff send: 125.008	chatId: b_7149751_2
	Diff start: 63672371983711.2	chatId: b_7149751_2
	Diff send: 312.5351	chatId: b_7149751_2
	Diff start: 63672371990913.8	chatId: b_7149751_2
	Diff send: 140.6166	chatId: b_7149751_2
	Diff start: 63672372001303.7	chatId: b_7149751_2
	Diff send: 312.5359	chatId: b_7149751_2
	Diff start: 63672802133972.4	chatId: b_7149751_2
	Diff send: 187.4911	chatId: b_7149751_2
	Diff start: 63672802157231.8	chatId: b_7149751_2
	Diff send: 27.5001	chatId: b_7149751_2
	Diff start: 63672802179936.3	chatId: b_7149751_2
	Diff send: 30.0677	chatId: b_7149751_2
	Diff start: 63672802247701.8	chatId: b_7149751_2
	Diff send: 26.4183	chatId: b_7149751_2
	Diff start: 63672802256518.2	chatId: b_7149751_2
	Diff send: 26.7254	chatId: b_7149751_2
	Diff start: 63672802265476	chatId: b_7149751_2
	Diff send: 25.738	chatId: b_7149751_2
	Diff start: 63672802267549.3	chatId: b_7149751_2
	Diff send: 26.9064	chatId: b_7149751_2
	Diff start: 63672802272633.6	chatId: b_7149751_2
	Diff send: 27.519	chatId: b_7149751_2
	Diff start: 63672802286067.8	chatId: b_7149751_2
	Diff send: 25.0179	chatId: b_7149751_2
	Diff start: 63672802292275.6	chatId: b_7149751_2
	Diff send: 36.6389	chatId: b_7149751_2
	Diff start: 63672802301669.4	chatId: b_7149751_2
	Diff send: 33.2597	chatId: b_7149751_2
	Diff start: 63672802308016	chatId: b_7149751_2
	Diff send: 37.4029	chatId: b_7149751_2
	Diff start: 63672802316617.7	chatId: b_7149751_2
	Diff send: 31.9816	chatId: b_7149751_2
	Diff start: 63672802316653.6	chatId: b_7149751_2
	Diff send: 24.9843	chatId: b_7149751_2
	Diff start: 63672802316683.6	chatId: b_7149751_2
	Diff send: 33.981	chatId: b_7149751_2
	Diff start: 63672802316721.6	chatId: b_7149751_2
	Diff send: 59.4752	chatId: b_7149751_2
	Diff start: 63672802316786.1	chatId: b_7149751_2
	Diff send: 33.9329	chatId: b_7149751_2
	Diff start: 63672802316824	chatId: b_7149751_2
	Diff send: 55.0396	chatId: b_7149751_2
	Diff start: 63672802316884.1	chatId: b_7149751_2
	Diff send: 47.1164	chatId: b_7149751_2
	Diff start: 63672802316935.2	chatId: b_7149751_2
	Diff send: 39.9754	chatId: b_7149751_2
	Diff start: 63672802316981.2	chatId: b_7149751_2
	Diff send: 37.9699	chatId: b_7149751_2
	Diff start: 63672802317023.1	chatId: b_7149751_2
	Diff send: 44.975	chatId: b_7149751_2
	Diff start: 63672802317072.1	chatId: b_7149751_2
	Diff send: 40.9772	chatId: b_7149751_2
	Diff start: 63672802317119.1	chatId: b_7149751_2
	Diff send: 33.937	chatId: b_7149751_2
	Diff start: 63672802317157	chatId: b_7149751_2
	Diff send: 38.6493	chatId: b_7149751_2
	Diff start: 63672802317200.7	chatId: b_7149751_2
	Diff send: 32.5014	chatId: b_7149751_2
	Diff start: 63672802317237.8	chatId: b_7149751_2
	Diff send: 30.4449	chatId: b_7149751_2
	Diff start: 63672802317272.3	chatId: b_7149751_2
	Diff send: 28.0666	chatId: b_7149751_2
	Diff start: 63672802317304.4	chatId: b_7149751_2
	Diff send: 248.7115	chatId: b_7149751_2
	Diff start: 63672802317557.1	chatId: b_7149751_2
	Diff send: 31.9874	chatId: b_7149751_2
	Diff start: 63672802332809.7	chatId: b_7149751_2
	Diff send: 41.097	chatId: b_7149751_2
	Diff start: 63672804413371.7	chatId: b_7149751_2
	Diff send: 276.9112	chatId: b_7149751_2
	Diff start: 63672804663970.1	chatId: b_7149751_2
	Diff send: 45.4976	chatId: b_7149751_2
	Diff start: 63672804672597.7	chatId: b_7149751_2
	Diff send: 80.5267	chatId: b_7149751_2
	Diff start: 63672804681768.5	chatId: b_7149751_2
	Diff send: 25.9847	chatId: b_7149751_2
	Diff start: 63672804684915.9	chatId: b_7149751_2
	Diff send: 65.1443	chatId: b_7149751_2
	Diff start: 63672804698128.9	chatId: b_7149751_2
	Diff send: 28.4181	chatId: b_7149751_2
	Diff start: 63672804714256.1	chatId: b_7149751_2
	Diff send: 107.2222	chatId: b_7149751_2
	Diff start: 63672804728126.3	chatId: b_7149751_2
	Diff send: 35.9795	chatId: b_7149751_2
	Diff start: 63672804732762.5	chatId: b_7149751_2
	Diff send: 26.5842	chatId: b_7149751_2
	Diff start: 63672804911227.9	chatId: b_7149751_2
	Diff send: 30.5418	chatId: b_7149751_2
	Diff start: 63672804919501	chatId: b_7149751_2
	Diff send: 36.8922	chatId: b_7149751_2
	Diff start: 63672804923477.6	chatId: b_7149751_2
	Diff send: 102.6466	chatId: b_7149751_2
	Diff start: 63672804930446.5	chatId: b_7149751_2
	Diff send: 157.5527	chatId: b_7149751_2
	Diff start: 63672805082548.4	chatId: b_5_2
	Diff send: 144.1714	chatId: b_5_2
	Diff start: 63672805094651.5	chatId: b_5_2
	Diff send: 106.1194	chatId: b_5_2
	Diff start: 63672805100830.8	chatId: b_5_2
	Diff send: 57.6318	chatId: b_5_2
	Diff start: 63672805203692.5	chatId: b_5_2
	Diff send: 54.2608	chatId: b_5_2
	Diff start: 63672805330419.5	chatId: b_7149751_2
	Diff send: 182.6828	chatId: b_7149751_2
	Diff start: 63672805346845.5	chatId: b_7149751_2
	Diff send: 60.1912	chatId: b_7149751_2
	Diff start: 63672805359943.8	chatId: b_7149751_2
	Diff send: 135.1501	chatId: b_7149751_2
	Diff start: 63672805371024	chatId: b_7149751_2
	Diff send: 55.0335	chatId: b_7149751_2
	Diff start: 63672805377788.4	chatId: b_7149751_2
	Diff send: 104.3119	chatId: b_7149751_2
	Diff start: 63672805380324.7	chatId: b_7149751_2
	Diff send: 67.9394	chatId: b_7149751_2
	Diff start: 63672806541836.3	chatId: b_7149751_2
	Diff send: 98.9279	chatId: b_7149751_2
	Diff start: 63672806542658.2	chatId: b_7149751_2
	Diff send: 53.2726	chatId: b_7149751_2
	Diff start: 63672806616565.9	chatId: b_7149751_2
	Diff send: 177.3289	chatId: b_7149751_2
